frame.number,frame.time_relative,frame.protocols,ip.src,ip.dst
26723,21.791693260,eth:ethertype:data,,
26806,21.844573417,eth:ethertype:data,,
26905,21.923332196,eth:ethertype:data,,
26929,21.945768425,eth:ethertype:data,,
27034,22.021337623,eth:ethertype:data,,
27106,22.063693312,eth:ethertype:data,,
27231,22.170580814,eth:ethertype:data,,
27283,22.240267674,eth:ethertype:data,,
27287,22.261944997,eth:ethertype:data,,
27478,22.381936496,eth:ethertype:data,,
27540,22.431101137,eth:ethertype:data,,
27675,22.515635639,eth:ethertype:data,,
27697,22.541797697,eth:ethertype:data,,
27780,22.590114266,eth:ethertype:data,,
28063,22.804581977,eth:ethertype:data,,
28151,22.870693684,eth:ethertype:data,,
28249,22.954580687,eth:ethertype:data,,
28282,22.989326696,eth:ethertype:data,,
28363,23.042834092,eth:ethertype:data,,
28387,23.066768549,eth:ethertype:data,,
28477,23.134967650,eth:ethertype:data,,
28654,23.255702638,eth:ethertype:data,,
28741,23.324543406,eth:ethertype:data,,
29042,23.544515747,eth:ethertype:data,,
29067,23.573842750,eth:ethertype:data,,
29150,23.624575670,eth:ethertype:data,,
29175,23.652067206,eth:ethertype:data,,
29257,23.701551586,eth:ethertype:data,,
29265,23.720441203,eth:ethertype:data,,
29285,23.733930878,eth:ethertype:data,,
29376,23.804505550,eth:ethertype:data,,
29538,23.914583048,eth:ethertype:data,,
29555,23.947208486,eth:ethertype:data,,
29583,24.002206141,eth:ethertype:data,,
29693,24.058597910,eth:ethertype:data,,
29756,24.123379983,eth:ethertype:data,,
29791,24.134147786,eth:ethertype:data,,
29806,24.144558453,eth:ethertype:data,,
29880,24.204667926,eth:ethertype:data,,
29962,24.264992764,eth:ethertype:data,,
30026,24.307064755,eth:ethertype:data,,
30034,24.320592190,eth:ethertype:data,,
30126,24.381985517,eth:ethertype:data,,
30132,24.387220147,eth:ethertype:data,,
30158,24.413982726,eth:ethertype:data,,
30223,24.455936175,eth:ethertype:data,,
30262,24.492270880,eth:ethertype:data,,
30341,24.541583332,eth:ethertype:data,,
30535,24.696223653,eth:ethertype:data,,
30665,24.786163098,eth:ethertype:data,,
30691,24.815771871,eth:ethertype:data,,
30770,24.864773908,eth:ethertype:data,,
30781,24.884569566,eth:ethertype:data,,
30798,24.896102680,eth:ethertype:data,,
30881,24.952019501,eth:ethertype:data,,
30905,24.976021405,eth:ethertype:data,,
31294,25.271686538,eth:ethertype:data,,
31412,25.345646936,eth:ethertype:data,,
31441,25.379787528,eth:ethertype:data,,
31520,25.433848154,eth:ethertype:data,,
31537,25.454459019,eth:ethertype:data,,
31820,25.653098672,eth:ethertype:data,,
31840,25.682853175,eth:ethertype:data,,
31868,25.720573087,eth:ethertype:data,,
32065,25.843069896,eth:ethertype:data,,
32070,25.847895100,eth:ethertype:data,,
32084,25.855122124,eth:ethertype:data,,
32107,25.879649392,eth:ethertype:data,,
32172,25.921511071,eth:ethertype:data,,
32206,25.953775623,eth:ethertype:data,,
32302,26.024579826,eth:ethertype:data,,
32306,26.029774613,eth:ethertype:data,,
32400,26.100740170,eth:ethertype:data,,
32475,26.152657776,eth:ethertype:data,,
32504,26.180311083,eth:ethertype:data,,
32565,26.223121771,eth:ethertype:data,,
32575,26.230287441,eth:ethertype:data,,
32602,26.255366740,eth:ethertype:data,,
32683,26.304507682,eth:ethertype:data,,
32889,26.455657329,eth:ethertype:data,,
32914,26.484933290,eth:ethertype:data,,
32988,26.534585274,eth:ethertype:data,,
33077,26.601625626,eth:ethertype:data,,
33088,26.614117593,eth:ethertype:data,,
33112,26.634930334,eth:ethertype:data,,
33207,26.710261772,eth:ethertype:data,,
33310,26.790173622,eth:ethertype:data,,
33572,26.986332444,eth:ethertype:data,,
33583,26.990177805,eth:ethertype:data,,
33586,26.997775975,eth:ethertype:data,,
33607,27.020269755,eth:ethertype:data,,
33671,27.059076854,eth:ethertype:data,,
33676,27.066284295,eth:ethertype:data,,
33693,27.083869017,eth:ethertype:data,,
33702,27.091228229,eth:ethertype:data,,
33704,27.095250413,eth:ethertype:data,,
33778,27.143464325,eth:ethertype:data,,
33797,27.162475921,eth:ethertype:data,,
33865,27.206413014,eth:ethertype:data,,
34070,27.362448125,eth:ethertype:data,,
34072,27.365148174,eth:ethertype:data,,
34075,27.375108217,eth:ethertype:data,,
34095,27.390985545,eth:ethertype:data,,
34132,27.464896099,eth:ethertype:data,,
34288,27.550757892,eth:ethertype:data,,
34335,27.579807031,eth:ethertype:data,,
34353,27.592907591,eth:ethertype:data,,
34360,27.602088936,eth:ethertype:data,,
34400,27.634579113,eth:ethertype:data,,
34467,27.674581106,eth:ethertype:data,,
34495,27.710843884,eth:ethertype:data,,
34586,27.767869506,eth:ethertype:data,,
34589,27.770948774,eth:ethertype:data,,
34592,27.778422777,eth:ethertype:data,,
34677,27.836309961,eth:ethertype:data,,
34685,27.842749278,eth:ethertype:data,,
34905,28.004671154,eth:ethertype:data,,
35000,28.075930825,eth:ethertype:data,,
35029,28.108511314,eth:ethertype:data,,
35092,28.151741377,eth:ethertype:data,,
35099,28.158914235,eth:ethertype:data,,
35196,28.229910000,eth:ethertype:data,,
35220,28.257205807,eth:ethertype:data,,
35322,28.335597242,eth:ethertype:data,,
35425,28.409716754,eth:ethertype:data,,
35430,28.414515708,eth:ethertype:data,,
35499,28.456396865,eth:ethertype:data,,
35515,28.476153461,eth:ethertype:data,,
35708,28.632118571,eth:ethertype:data,,
35812,28.711438339,eth:ethertype:data,,
35924,28.789775920,eth:ethertype:data,,
35934,28.801148617,eth:ethertype:data,,
36001,28.844570398,eth:ethertype:data,,
36109,28.922375688,eth:ethertype:data,,
36224,29.004682119,eth:ethertype:data,,
36328,29.085554646,eth:ethertype:data,,
36408,29.178867160,eth:ethertype:data,,
36416,29.194622354,eth:ethertype:data,,
36491,29.224680033,eth:ethertype:data,,
36593,29.300215325,eth:ethertype:data,,
36598,29.308296515,eth:ethertype:data,,
36641,29.343494398,eth:ethertype:data,,
36694,29.379716394,eth:ethertype:data,,
36696,29.382723006,eth:ethertype:data,,
36740,29.419076929,eth:ethertype:data,,
36794,29.452503304,eth:ethertype:data,,
36828,29.489578424,eth:ethertype:data,,
37038,29.646102284,eth:ethertype:data,,
37106,29.689837450,eth:ethertype:data,,
37117,29.696098434,eth:ethertype:data,,
37141,29.720774139,eth:ethertype:data,,
37442,29.945607621,eth:ethertype:data,,
37514,29.988202007,eth:ethertype:data,,
37519,29.994673199,eth:ethertype:data,,
37547,30.024371764,eth:ethertype:data,,
37644,30.081215355,eth:ethertype:data,,
37678,30.120273026,eth:ethertype:data,,
37745,30.161653767,eth:ethertype:data,,
37838,30.234532395,eth:ethertype:data,,
37869,30.266242781,eth:ethertype:data,,
37933,30.307211648,eth:ethertype:data,,
38042,30.400172080,eth:ethertype:data,,
38113,30.454572444,eth:ethertype:data,,
38123,30.458039680,eth:ethertype:data,,
38222,30.539658352,eth:ethertype:data,,
38287,30.584587006,eth:ethertype:data,,
38387,30.659008497,eth:ethertype:data,,
38413,30.687947323,eth:ethertype:data,,
38489,30.734548008,eth:ethertype:data,,
38576,30.801464454,eth:ethertype:data,,
38601,30.833721194,eth:ethertype:data,,
38608,30.839881031,eth:ethertype:data,,
38669,30.918377831,eth:ethertype:data,,
38853,31.032780794,eth:ethertype:data,,
38907,31.071193673,eth:ethertype:data,,
38974,31.115048058,eth:ethertype:data,,
38998,31.142535636,eth:ethertype:data,,
39101,31.225695712,eth:ethertype:data,,
39270,31.344381796,eth:ethertype:data,,
39276,31.350249915,eth:ethertype:data,,
39302,31.379315304,eth:ethertype:data,,
39376,31.423885886,eth:ethertype:data,,
39398,31.448879247,eth:ethertype:data,,
39487,31.515366371,eth:ethertype:data,,
39558,31.559720234,eth:ethertype:data,,
39587,31.592358484,eth:ethertype:data,,
39714,31.684996468,eth:ethertype:data,,
39795,31.735299701,eth:ethertype:data,,
39822,31.766614358,eth:ethertype:data,,
39887,31.806602080,eth:ethertype:data,,
39913,31.835470438,eth:ethertype:data,,
40277,32.108621581,eth:ethertype:data,,
40304,32.139805926,eth:ethertype:data,,
40390,32.191942751,eth:ethertype:data,,
40510,32.293090205,eth:ethertype:data,,
40585,32.339258026,eth:ethertype:data,,
40617,32.376439813,eth:ethertype:data,,
40694,32.424513777,eth:ethertype:data,,
40789,32.495683656,eth:ethertype:data,,
40812,32.521988475,eth:ethertype:data,,
40886,32.568235826,eth:ethertype:data,,
40907,32.600501472,eth:ethertype:data,,
40934,32.653533348,eth:ethertype:data,,
41042,32.709922408,eth:ethertype:data,,
41093,32.747962632,eth:ethertype:data,,
41203,32.829388803,eth:ethertype:data,,
41213,32.835830516,eth:ethertype:data,,
41281,32.877896673,eth:ethertype:data,,
41307,32.907214874,eth:ethertype:data,,
41363,32.947299107,eth:ethertype:data,,
41379,32.953062955,eth:ethertype:data,,
41390,32.963567268,eth:ethertype:data,,
41521,33.068991802,eth:ethertype:data,,
41595,33.113850092,eth:ethertype:data,,
41622,33.146686414,eth:ethertype:data,,
41726,33.226663473,eth:ethertype:data,,
41794,33.268812391,eth:ethertype:data,,
41825,33.303454336,eth:ethertype:data,,
41905,33.352368560,eth:ethertype:data,,
41933,33.383312384,eth:ethertype:data,,
41999,33.424523803,eth:ethertype:data,,
42029,33.458310489,eth:ethertype:data,,
42106,33.506305235,eth:ethertype:data,,
42136,33.540306296,eth:ethertype:data,,
42216,33.588723332,eth:ethertype:data,,
42241,33.616934451,eth:ethertype:data,,
42337,33.688619278,eth:ethertype:data,,
42432,33.758289054,eth:ethertype:data,,
42510,33.806264998,eth:ethertype:data,,
42540,33.839837101,eth:ethertype:data,,
42625,33.908066306,eth:ethertype:data,,
42723,33.964809584,eth:ethertype:data,,
42834,34.049152628,eth:ethertype:data,,
42861,34.080071452,eth:ethertype:data,,
42956,34.137284210,eth:ethertype:data,,
42958,34.143123631,eth:ethertype:data,,
43045,34.204665812,eth:ethertype:data,,
43071,34.234572866,eth:ethertype:data,,
43134,34.272979964,eth:ethertype:data,,
43207,34.367944717,eth:ethertype:data,,
43418,34.492483295,eth:ethertype:data,,
43426,34.498214227,eth:ethertype:data,,
43455,34.531859038,eth:ethertype:data,,
43514,34.568127336,eth:ethertype:data,,
43525,34.573807435,eth:ethertype:data,,
43552,34.605925060,eth:ethertype:data,,
43615,34.644613669,eth:ethertype:data,,
43707,34.718077348,eth:ethertype:data,,
43736,34.751721482,eth:ethertype:data,,
43835,34.827328128,eth:ethertype:data,,
43911,34.873889229,eth:ethertype:data,,
43932,34.898177539,eth:ethertype:data,,
44030,34.973983559,eth:ethertype:data,,
44125,35.047787811,eth:ethertype:data,,
44218,35.104384736,eth:ethertype:data,,
44244,35.132373042,eth:ethertype:data,,
44349,35.212007132,eth:ethertype:data,,
44415,35.258765368,eth:ethertype:data,,
44443,35.284603260,eth:ethertype:data,,
